1,21 - 1, Mixed Cocktail, Tall Highball, Lime Wheel, Mother`s Day, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, Dash Grenadine, In Shaker, mix ingredients, pour over ice,
2,21 - 2, Mixed Cocktail, Collins, Orange Slice & Lime Wheel, Green, 1 1/4 oz. Coconut Rum, 3/4 oz. Melon Liqueur, 2 oz. Orange juice, 2 oz. Pineapple juice, Pour Over 1 oz. Soda, In Shaker, mix ingredients, pour over ice
3,21 - 3, Mixed Cocktail, Highball Glass, Pineapple, Any, 1 1/2 oz. Early Times, 1 oz. Apricot Brandy, 2 oz. Pineapple juice, Club Soda, Shake ingredients with ice; pour into highball glass; stir in club soda,,,
4,57 T - Birds (California Plates), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Scotch, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
5,57 T - Birds (Cape Cod Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Cranberry juice, In Shaker, mix ingredients with ice and strain into glass,,,
6,57 T - Birds (Florida Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Grapefruit juice, In Shaker, mix ingredients with ice and strain into glass,,,
7,57 T - Bird, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Grand Marnier, 1/2 oz. Amaretto Di Saronno, splash Pineapple juice, Fill shaker half full with ice, add ingredients; stir; strain into rocks glass,,
8,77 Sunset Strip - 1, Martini, Chilled Cocktail, 3 Speared Cocktail Onions, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,,
9,77 Sunset Strip - 2, Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Amaretto, 1/2 oz. Vodka, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,
10,77 Sunset Strip - 3, Shooter, Cordial, None, 4th of July, 1/2 oz. Creme de Noya, 1/2 oz. White Creme de Menthe, 1/2 oz. Blue Curacao, Pour Liqueurs in the order they are listed,,,,
11,7th - Inning Stretch, Mixed Cocktail, Cocktail Glass, None, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Mix ingredients and pour into cocktail glass,,,,
12,Adam`s Apple - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,
13,Adam`s Apple - 2, Martini, Chilled Cocktail, Lemon Twist, Any, 1 oz. Harvey`s Bristol Cream, 1 oz. Dubonnet, In Shaker, mix ingredients with ice and strain into glass,,,,
14,Adam`s Apple - 3, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Finlandia Vodka, Pour Finlandia vodka over ice, fill with apple cider, stir,,,,
15,Adios Mother - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
16,Adios Mother - 2, Highball, Tall Highball, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
836,Slow Southern, Mixed Cocktail, Highball Glass, Cherry, Any, 3/4 oz. Southern Comfort, 3/4 oz. Sloe Gin, 3 oz. Orange juice, Fill highball glass with ice. Add Southern Comfort, sloe gin and orange juice, and stir,
837,Slow Southern Comfortable Screw, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Southern Comfort, 3/4 oz. Sloe Gin, 3/4 oz. Finlandia Vodka, Orange juice, Pour Southern Comfort, Sloe Gin, and vodka over ice; top with orange juice
838,Smith And Kearns, Highball, Tall Highball, None, Any, 1 1/2 oz. Dark Creme de Cacao, 1 oz. Half & Half, Top with Splash of Soda, Pour ingredients as listed over ice,,,
839,Snake Bite - 1, Mixed Cocktail, Rocks Glass, None, Any, Equal part Canadian Mist, equal part Peppermint Schnapps, Mix ingredients as listed,,,,
840,Snake Bite - 2, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Canadian Mist, 3/4 oz. Peppermint Schnapps, Mix ingredients as listed,,,,
841,Snow Bear, Ice Cream Drink, Tall Specialty, None, Winter, 1 1/4 oz. Amaretto, Dash Vanilla Extract, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed ice, Combine ingredients in blender, blend until smooth
842,Snowblower, Mixed Cocktail, Rocks Glass, None, Any, 1 oz. Early Times, 3/4 oz. Peppermint Schnapps, dash Bitters, Add ingredients to ice filled rocks glass; stir well,,,
843,Snowshoe - 1, Highball, Tall Rocks, None, Winter, 1 1/2 oz. Bourbon 101, 3/4 oz. Peppermint Schnapps, Pour ingredients as listed over ice,,,,
844,Snowshoe - 2, Mixed Cocktail, Old Fashioned Glass, None, Any, 1 1/2 oz. Gentleman Jack, 3/4 oz. Mentholmint Schnapps, Shake with ice and strain into old fashioned glass,,,,
845,Soco Kiss, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Amaretto, 1/4 oz. Melon Liqueur, Cranberry juice, Fill with cranberry juice; serve in shooter or on the rocks,,
846,So-co-lo-co Cocktail, Mixed Cocktail, Highball Glass, Cherry and orange, Any, 1 oz. Southern Comfort, 1 oz. Chambord Liqueur, 1/2 oz. Triple Sec, 1/2 oz. Midori, 2 oz. Pineapple juice, Shake well on the rocks; pour into highball 10 oz. glass,
847,Sombrero, Highball, Tall Rocks, None, Cinco de Mayo, 1 1/2 oz. Coffee Liqueur, Float 1 oz. Half & Half, Pour ingredients as listed over ice,,,,
848,Son Of A Witch, Mixed Cocktail, Short Glass, None, Any, 1 part Southern Comfort, 1 part Apple Schnapps, Mix ingredients as listed,,,,
849,Soul Kiss, Mixed Cocktail, Highball Glass, None, Any, 1 oz. Canadian Mist, 1 oz. Noilly Prat Dry Vermouth, 1/2 oz. Dubonnet, 3/4 oz. Orange juice, Mix ingredients as listed,,
850,Sours, Mixed Cocktail, Collins, Orange Slice & Cherry, Any, 1 1/4 oz. Liqueur/Liqueur, 3 oz. Sweet & Sour Mix, In Shaker, mix ingredients, pour over ice,,
851,Southbound Tramp, Mixed Cocktail, Chimney Glass, Pineapple wedge, Any, 1 oz. Southern Comfort, 3/4 oz. Coffee Liqueur (Kahlua), 1/4 oz. Grenadine, 1/2 glass Pineapple juice, 1/2 glass Orange juice, Pour ingredients - one at a time - in the order given into a chimney glass; serve unstirred, with two straw; drink can also be blended
852,Southern Alexander, Mixed Cocktail, Tall glass, None, Any, 1 1/2 oz. Southern Comfort, 1 1/2 oz. Creme de Cacao, 1 cup Ice Cubes, Place Southern Comfort, creme de cacao and ice in blender. Pour in half and half until ice is covered. Blend until foamy and pour into tall glass,,
853,Southern Amaretto, Mixed Cocktail, Highball Glass, None, Any, 1 1/2 oz. Southern Comfort, 3/4 oz. Amaretto, 7-Up, lots Crushed Ice, Mix ingredients as listed,,
854,Southern And Cola, Mixed Cocktail, Tall Glass, Lime wedge, Father`s Day, 1 1/2 oz. Southern Comfort,  Cola, Fill tall glass with ice. Squeeze lime over ice and add Southern Comfort. Fill with cola and stir,,,,
855,Southern And Ginger, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort,  Ginger Ale, Fill tall glass with ice. Add Southern Comfort. Fill with ginger ale and stir,,,,
856,Southern And Tonic, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort,  Slice of Lime,  Tonic Water, Squeeze lime over ice in a tall glass. Add Southern Comfort, slice of lime, tonic water and stir,
857,Southern Angel, Mixed Cocktail, Short Glass, None, Any, 3/4 oz. Southern Comfort, 1/4 oz. Amaretto, 1/4 oz. Bacardi 151 Proof Rum, Build in above order; flame. (CBP does not recommend flaming.),,,
858,Southern Apple, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Southern Comfort, 1 oz. Apple Schnapps, Whipped Cream, 3 dashes Cinnamon, 3 drops Grenadine, Mix Southern Comfort and apple schnapps in blender; add three drops of grenadine, 3 dashes of cinnamon; pour into rocks glass but don`t use ice; top w
859,Southern Banana Daiquiri, Frozen Drink, Stemmed Glass, Whipped cream and a cherry, Any, 3 oz. Southern Comfort, 1 Banana, Sliced, 1 oz. Sweetened Lime juice, 4 Ice Cubes, Crushed, Blend all ingredients in blender until slushy
860,Southern Bandido, Hot Drink, Coffee Mug, Cherry, Any, 1 1/4 oz. Southern Comfort, 3/4 oz. Korbel Brandy, 4 oz. Coffee, Whipped Cream, Pour into 8 oz. coffee cup,,
861,Southern Belle - 1, Mixed Cocktail, Sour Glass, None, Any, 1 oz. Early Times, 3/4 oz. Green Creme de Menthe, 3/4 oz. White Creme de Cacao, 1 oz. Fresh Cream, Shake ingredients with cracked ice; strain into whisky sour glass,,
862,Southern Belle - 2, Shooter, Shot Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Bailey`s Irish Cream, 1/2 shaker Ice Cubes, Put ingredients into shaker; shake/strain into 1 1/3 oz. shot glass,,,
863,Southern Berry, Frozen Drink, Collins Glass, Umbrella, Any, 3/4 oz. Southern Comfort, 3/4 oz. Blue Berry Schnapps, 1/2 oz. Amaretto, 3 oz. Cranberry juice, Pour into a shaker with 2 ice cubes; shake; pour into chilled Collins glass over ice,,
864,Southern Bombay, Mixed Cocktail, Rocks Glass, None, Any, 1/4 oz. Southern Comfort, 1 oz. Bombay Sapphire, 1 1/4 oz. Grapefruit juice, Stir on the rocks,,,
865,Southern Breeze, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, 4 oz. Cranberry juice, 1 oz. Grapefruit juice, Mix ingredients as listed,,,,
866,Southern Colada, Mixed Cocktail, Tall Glass, Cherry, Any, 1 1/2 oz. Southern Comfort, 1 oz. Cream of Coconut, 2 oz. Pineapple juice, 2 Ice Cubes, Crushed, Blend all ingredients with ice in a blender. Serve in a tall glass,,
867,Southern Colada (By The Pitcher), Mixed Cocktail, Pitcher, Cherry and lime, Birthday, 9 oz. Southern Comfort, 6 oz. Cream of Coconut, 12 oz. Pineapple juice, 8 crushed Ice Cubes, Blend all ingredients until frothy; serve in a tall glass over ice,,,
868,Southern Collins, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Lime juice,  Lemon-Lime Soda, Fill tall glass with ice. Add Southern Comfort and lime juice. Fill with lemon-lime soda and stir,,,,
869,Southern Comfort And Coke, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Southern Comfort, 4 oz. Coke, Mix ingredients as listed,,,,,
870,Southern Comfort And Cream, Mixed Cocktail, Stemmed Glass, None, Any, 1 c Southern Comfort, 1 can Eagle Sweetened Condensed, Whipping Cream, 4 large Eggs, 2 Tbsp Chocolate Flavored Syrup, 2 tsp Instant Coffee, 1 tsp Van, Blend all ingredients in blender until smooth; store tightly covered in refrigerator. Serve in stemmed glass
871,Southern Comfort Blue Lemonade, Mixed Cocktail, Tall Glass, None, Any, 1 part Southern Comfort, 1 part Blue Curacao, 1 part Sweet and Sour Mix, splash Club Soda, Mix ingredients as listed,,,
872,Southern Comfort Blue Sky Manhattan, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Southern Comfort, 1/2 part Blue Curacao, White Creme de Cacao, Mix ingredients as listed,,,,
873,Southern Comfort Candy Cane Manhatt, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Southern Comfort, 1/2 part Peppermint Schnapps, Add candy cane or peppermint,,,,,
874,Southern Comfort Devils Food Cake, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Southern Comfort, 1/2 part Brown Cacao, Chocolate Chips, Mix ingredients as listed,,,,
875,Southern Comfort Dry Manhattan, Highball, Tall Rocks, None, Any, 1 1/2 oz. Metaxa, 3/4 oz. Galliano, Pour ingredients as listed over ice,,,,,
876,Southern Comfort On The Rocks, Mixed Cocktail, Short Glass, None, Any, 1 jigger Southern Comfort, Pour over cracked ice in short glass; add twist of lemon peel,,,,,,
877,Southern Comfort Orange Slushy, Frozen Drink, Stemmed Glass, None, Any, 1/2 c Southern Comfort, 2 c Orange juice, 2 Limes, Grenadine, Combine orange juice with half the Southern Comfort (1/4 cup); pour into ice cube tray; free,,,
878,Southern Comfort Orange Squeeze, Mixed Cocktail, Tall Glass, None, Any, 1 liter Southern Comfort, 1 qt. Orange juice, 8 large Oranges, Cut out stem ends of each orange to make an opening about 1-1/2 inches in diameter. Cut pulp from each orange, leaving 1 1/2 inch thick shells. Squeez,,,
879,Southern Comfort Punch, Punch, Punch Bowl, Fresh pineapple wedge, Any, 3 parts Southern Comfort, 2 parts Sugar Syrup, 1part sour Lime juice, Water, Ice Cubes, Combine all ingredients in a glass or pitcher,,
880,Southern Comfort Tea Party Punch, Mixed Cocktail, Punch Bowl, None, 4th of July, 1c Southern Comfort, 1 c Boiling Water, 4 Tea Bags, 3 Tbsp Light Corn Syrup, 2 c Orange juice, 2 c Cold Water, 3 Tbsp Lemon juice, Remove boiling water from heat; add tea bags and steep for 4 minutes; stir corn
881,Southern Comfortable Dream, Mixed Cocktail, Stemmed Glass, None, Any, 1 oz. Southern Comfort, 3/4 Liquore 43, 1 oz. Orange juice, 1 1/2 oz. Half `n` Half, Mix all ingredients over ice and shake thoroughly; pour into 10 oz. stemmed glass,,,
882,Southern Comfortable Freeze, Frozen Drink, Tulip Glass, None, Any, 1 oz. Southern Comfort, 2 oz. Pineapple juice, 1 oz. Grenadine, Place ingredients and ice in a blender, blend until frozen, pour into stemmed tulip glass,,
883,Southern Comfortable Runners, Mixed Cocktail, Poco Grande Glass, None, Kentucky Derby, 2/3 oz. Southern Comfort, splash Lime juice, 1/2 oz. Grenadine, 2/3 oz. Banana Korbel Brandy, 2/3 oz. Blackberry Korbel Brandy, splash Orange juice, splash Banana Daiquiri Mix, Mix ingredients as listed
884,Southern Comfortable Scream, Frozen Drink, Stemmed Glass, Orange slice, Any, 1 1/2 oz. Southern Comfort, 3/4 oz. Rum, 3/4 oz. Blue Curacao, 8 oz. Pineapple juice, 10 oz. Ice Cubes, Blend all ingredients until frozen, use hurricane glass,
885,Southern Comfortable Shoe, Shooter, Shot Glass, None, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Peppermint Schnapps, Combine in a shot glass,,,,,
886,Southern Comfortable Watermelon, Mixed Cocktail, Tall, Watermelon wedge, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Melon Liqueur, 1/2 oz. Finlandia Vodka, 1 1/2 oz. Cranberry juice, 1oz. Pineapple juice, Shake all ingredients over ice. Pour into tall glass,,
887,Southern Comfort`s Jungle juice, Mixed Cocktail, Stemmed Glass, None, Any, 1 oz. Southern Comfort, 1 oz. Banana Liqueur, 2 oz. Pineapple juice, 2 oz. Orange juice, Shake! Delicious served on the rocks, strained or frozen,,
888,Southern Comfort`s Mellow Malt, Mixed Cocktail, Beer Mug, None, Any, 1 oz. Southern Comfort, 1/2 oz. Coffee Liqueur (Kahlua), 1/2 oz. Bailey`s Irish Cream, Combine ingredients in a 10 oz. beer mug or glass; fill with coffee; top with whipped cream; cinnamon and cherry,,,,
889,Southern Cranberry, Mixed Cocktail, Tumbler, Lime wedge, Any, 1 1/2 oz. Southern Comfort,  Cranberry,  Lime Wedge, Fill tumbler with ice. Squeeze lime juice and add Southern Comfort. Fill with cranbery juice,,,,
890,Southern Frost, Mixed Cocktail, Tall Glass, None, Winter, 1 1/2 oz. Southern Comfort, 2 oz. Cranberry juice, 2 oz. Ginger Ale, Fill tall glass with ice. Add all ingredients and stir,,,,
891,Southern Fuzz, Mixed Cocktail, Short Glass, Peach slice, Any, 1 oz. Southern Comfort, 1 oz. Peach Schnapps, 2 oz. Cream, Add Southern Comfort, peach schnapps and cream into a shaker. Shake well and pour into a short glass filled with ice,,,
892,Southern Gator, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, 4 oz. Citrus Gatorade, Mix ingredients as listed,,,,,
893,Southern Grand, Shooter, Shot Glass, None, Any, 1 oz. Southern Comfort, 1/4 oz. Grand Marnier, Float Grand Marnier; serve as a shot,,,,,
894,Southern Highball, Mixed Cocktail, Tumbler, None, Any, 1 1/2 oz. Southern Comfort,  Sparkling Water, Fill a tumbler with ice. Add Southern Comfort, fill with sparkling water and stir,,,,
895,Southern Hot Chocolate, Hot Drink, Mug, Whipped cream, if desired, Any, 1 1/2 oz. Southern Comfort, 1 Package Instant Hot Chocolate, Pour Southern Comfort into a mug of prepared hot chocolate,,,,
896,Southern Kiss, Mixed Cocktail, Tall Glass, None, Any, 3 oz. Southern Comfort, 1oz. Amaretto, Fill short glass with crushed ice. Add Southern Comfort and amaretto and stir,,,,,
897,Southern Manhattan, Mixed Cocktail, Martini Glass, Maraschino cherry or lemon peel, Any, 2 1/4 oz. Southern Comfort, 3/4 oz. Dry Vermouth, Dash Angostura Bitter,  Maraschino Cherry, Mix ingredients with crushed ice and stir well. Strain into chilled martini glass,,,
898,Southern Old Fashioned, Mixed Cocktail, Short Glass, Twist of lemon peel, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Sparkling Water, 1 tsp. Sugar, dash Angostura Bitters, Stir bitters, sugar and water in short glass. Add Southern Comfort and ice cubes,,
899,Southern On The Rocks, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Southern Comfort,  Cracked Ice, Pour over cracked ice in short glass, add twist of lemon,,,,
900,Southern Peach, Shooter, Chilled Rocks, None, Any, 3/4 oz. Bourbon, 3/4 oz. Peach Schnapps, In Shaker, mix ingredients with ice and strain into glass,,,,
901,Southern Peach Cobbler, Mixed Cocktail, Highball Glass, Peach slice, Any, 1 oz. Southern Comfort, 1/4 oz. Peach Schnapps, 1 oz. Fresh Cream, Club Soda, Pour ingredients into a highball glass over ice; fill with club soda and stir,,,
902,Southern Punch, Punch, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Jack Daniel`s, 3 oz. Sweet and Sour Mix, 3-4 dashes Pineapple juice, 1/3 oz. Grenadine, Fill tall glass with ice. Shake all ingredients and pour over ice,,
903,Southern Rose, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Lime juice, Mix ingredients as listed,,,,,
904,Southern Scarlet, Mixed Cocktail, Rocks Glass, Lime, Any, 1 1/2 oz. Southern Comfort, 1 oz. Cranberry juice, 1 1/2 oz. Sweet and Sour Mix, Lime Wedge, Serve straight-up or on the rocks; optional drop of grenadine,,,
905,Southern Shag, Mixed Cocktail, Tall Glass, Lime wedge, Any, 11/2 oz. Southern Comfort, 2 oz. Cranberry juice, 1/2 oz. Orange juice, Fill glass with ice. Add Southern Comfort, cranberry juice and orange juice,,,
906,Southern Slammer, Shooter, Shot Glass, None, Any, 3/4 oz. Korbel Spiced Brandy, 1/4 oz. Southern Comfort, 1/2 oz. Grand Marnier, For each drink, combine all ingredients over ice in a shaker and strain into a shot glass,,,
907,Southern Sparkler, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, 1 oz. Grapefruit juice, 1oz. Pineapple juice,  Club Soda, Fill tall glass with ice and add Southern Comfort, grapefruit juice and pineapple juice. Fill with club soda and stir,,
908,Southern Squeeze, Mixed Cocktail, Tall Glass, Orange wedge, Any, 1 1/2 oz. Southern Comfort,  Orange juice, Fill tall glass with ice. Add Southern Comfort and fill with orange juice,,,,,
909,Southern Strawberry Daiquiri, Frozen Drink, Stemmed Glass, Fresh strawberry and whipped cream if desired, Valentine`s Day, 1 1/2 oz. Southern Comfort, 3 frozen Strawberries, 2 oz. Orange juice, 4 Ice Cubes, Crushed, Blend all ingredients in blender until slushy,,
910,Southern Summer Cocktail, Mixed Cocktail, Tall Glass, None, Any, 2 oz. Southern Comfort, 1/2 oz. Lemon juice, 1/2 oz. Orange juice, 1 t. Sugar,  Lemon-Lime Soda, Fill tall glass with ice. Shake Southern Comfort, fruit juice and sugar together. Pour over ice, fill with lemon-lime soda and stir
911,Southern Sunrise, Mixed Cocktail, Tall Glass, A slice of orange and a slice of lime, Any, 2 oz. Southern Comfort, 2 oz. Orange juice, 1 oz. Lime juice, 1/2 tsp Sugar, splash Grenadine, Combine all ingredients over ice in a shaker; shake well and strain into a glass rimmed with salt if desired,,
912,Southern Sunset, Frozen Drink, Tulip Glass, Pineapple wedge, Any, 3/4 oz. Southern Comfort, 3/4 oz. Midori, 1/2 oz. Peach Schnapps, 1 oz. Pineapple juice, 1/2 oz. Grenadine, Pour all ingredients into blender with crushed ice and blend to a slushy consistency; serve in a tulip glass,,
913,Southern Sunshine, Punch, Pitcher, None, Any, 1/4 cup Southern Comfort, 2/3 cup Orange juice, 3 t. Lemon juice, 2 t. Sugar,1, 12 oz. can Lemon-Lime Soda, Combine fruit juices and sugar in a 32 oz. pitcher. Stir until sugar dissolves. Add remaining ingredients and ice. Makes 4, 6 oz. servings
914,Southern Suprise, Mixed Cocktail, Punch Bowl, None, Any, 3 1/2 oz. Southern Comfort, 3 1/2 oz. Jack Daniel`s, equal part Cranberry juice, equal part Pineapple juice, Combine ingredients in a punch bowl,,,
915,Southern Surfsider, Frozen Drink, Stemmed Glass, None, Any, 1 1/2 oz. Southern Comfort, 3/4 oz. Blue Curacao, 1 oz. Lemon juice, 1 1/2 oz. Pineapple juice, 1/2 oz. Simple Syrup, 1 1/2 scoops Crushed Ice, Combine ingredients in a blender and mix until frothy; this makes a delicious blue drink,
916,Spanish Coffee, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 Sugar Cube, Add Coffee and Muddle, 3/4 oz. Brandy, 3/4 oz. Coffee Liqueur, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,
917,Sparkling Skyy (Orange), Martini, Martini, None, Any, 2 oz. SKYY VODKA, 1 oz. champagne, Splash of fresh tangerine juice, Mix all ingredients in a shaker filled with ice. Serve in a champagne flute,,,,
918,Sparkling Southern Apple, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Southern Comfort, 1 oz. Apple Schnapps,  Lemon Wedge,  Club Soda, Fill tall glass with ice. Squeeze lemon over ice. Add Southern Comfort and schnapps. Fill with club soda and stir,,,
919,Spice On The Rocks, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Korbel Spiced Brandy, Crushed Ice, Add Korbel Spiced Korbel Brandy over crushed ice with a twist of orange,,,,,
920,Spiced Alexander, Mixed Cocktail, Rocks Glass, Orange twist, Any, 1 1/4 oz. Korbel Spiced Brandy, 1/2 oz. Creme de Cacao, 3/4 oz. Half `n` Half, Combine all ingredients over ice in a rocks glass,,,,
921,Spiced Apple Fantasy, Mixed Cocktail, Short Glass, Apple wedge, Any, 1 1/2 oz. Korbel Spiced Brandy, squeeze Lemon Wedge, squeeze Lime Wedge, squeeze Orange Wedge, 2 oz. Apple juice, Combine all ingredients over ice in an 8 oz. glass,,
922,Spiced Apple Kor, Hot Drink, Coffee Mug, None, Any, 1 1/2 oz. Korbel Spiced Brandy, 6 oz. Apple Cider, Heat apple cider, add Korbel Brandy, and stir with a cinnamon stick,,,
923,Spiced Blarneystone, Mixed Cocktail, Rocks Glass, Orange twist, Any, 1 1/4 oz. Korbel Spiced Brandy, 1 oz. Half `n` Half, 1/2 oz. Irish Whiskey, Combine all ingredients over ice in a rocks glass,,,,
924,Spiced Cherry Sundae, Mixed Cocktail, Tall Glass, Maraschino cherry, Any, 2 oz. Korbel Spiced Brandy, splash Grenadine, 1/2 oz. Cherry Korbel Brandy, 4 each Maraschino Cherries, 2 scoops Vanilla Ice Cream, 1 c Crushed Ice, Combine all ingredients in a blender until smooth, serve in a 16 oz. glass
925,Spiced Citrus, Mixed Cocktail, Tall Glass, Lemon wedge, Any, 2 oz. Korbel Spiced Brandy, squeeze Lemon Wedge, squeeze Lime Wedge, squeeze Orange Wedge, 4 oz. 7-Up, Combine the Korbel Brandy and citrus juice over ice in a 12 oz. glass, top with soda,
926,Spiced Coffee, Hot Drink, Coffee Mug, None, Any, 1 1/4 oz. Korbel Spiced Brandy, 1 oz. Maple Syrup, 1 oz. Half `n` Half, 5 oz. Coffee, Combine all ingredients in an 8 1/2 oz. footed mug, stir and top with whipped cream,,
927,Spiced Grasshopper, Mixed Cocktail, Tall Glass, Orange wheel, Any, 2 oz. Korbel Spiced Brandy, 1/2 oz. White Creme de Cacao, 1/2 oz. Green Creme de Menthe, 3 oz. Whipping Cream, 2 c Crushed Ice, Combine ingredients in a blender until smooth, serve in a 16 oz. glass,
928,Spiced Manhattan, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Korbel Spiced Brandy, 1/4 oz. Noilly Prat Sweet Vermouth, 1/2 oz. Bourbon, Chill all ingredients over ice, strain and serve up, with an orange twist,,
929,Spiced Maple Cider, Hot Drink, Coffee Mug, None, Any, 1/2 c Southern Comfort, 2 qts Apple Cider, 8 oz. Cary`s Pure Maple Syrup, 1/3 c Lemon juice, 1 sliced Orange, 8 Cloves (whole), Use a small orange; use 3 cinnamon sticks; in a large saucepan, combine all ingredients except liqueur, bring to a boil; reduce heat; simmer uncovered
930,Spiced Raspberry, Mixed Cocktail, Short Glass, None, Any, 1 oz. Korbel Spiced Brandy, 1/4 oz. Grand Marnier, 1/2 oz. Raspberry Liqueur, Mix ingredients as listed,,,,,
931,Spiced Snakebite, Mixed Cocktail, Short Glass, None, Any, 1 oz. Korbel Spiced Brandy, 1/4 oz. Chambord Liqueur, 1/2 oz. Citrus Vodka, Mix ingredients as listed,,,,,
932,Spiced Sunrise, Mixed Cocktail, Tall Glass, Orange twist, Any, 1 1/4 oz. Korbel Spiced Brandy, 1/2 oz. Citrus Vodka, 1 oz. Orange juice, 3 oz. Cranberry juice, Combine the Korbel Brandy, vodka and orange juice over ice in a 12 oz. glass, top with cranberry juice,,
933,Spiced Tea, Mixed Cocktail, Tall Glass, None, Any, 1 1/4 oz. Korbel Spiced Brandy, 6 oz. Unsweetened Tea, Combine in a tall glass over ice and stir well,,,,,,
934,Spicy Cola, Mixed Cocktail, Tall Glass, None, Any, 1 1/4 oz. Korbel Spiced Brandy, Coke, Combine ingredients in a tall glass with ice; stir well,,,,,,
935,Spring Action, Mixed Cocktail, Tall Glass, None, Any, 3/4 oz. Southern Comfort, 3/4 oz. Apricot Brandy, 3/4 oz. Sloe Gin, Orange juice, Fill with orange juice,,,,
936,Spring Break, Mixed Cocktail, Highball Glass, Pineapple slice, Any, 1 1/2 oz. Early Times, 1/2 oz. Triple Sec, 3 oz. Orange juice, 1 tsp Sugar, Shake ingredients with ice; pour into highball glass; stir in club soda,,,,
937,Spring Thaw, Mixed Cocktail, Short Glass, None, Any, 1 1/4 oz. Southern Comfort, 1/4 oz. Finlandia Vodka, 1/2 oz. Bailey`s Irish Cream, Southern Comfort on bottom; vodka on top,,,,,
938,Spritzer, Wine Drink, Tall Specialty, Lemon Twist, Any, 6 oz. Chablis, Fill with Soda, Pour ingredients as listed over ice,,,,,,
939,St. Bart`s Cooler, Mixed Cocktail, Tall Glass, None, Any, 2 oz. Southern Comfort, 1 c Orange juice, Tonic Water, 2 large Lime Wedge, Ice Cubes, Half fill a 16-oz. glass with ice; add juice and Southern Comfort; stir; fill glass with tonic; squeeze in lime juice; stir and serve. Serves 1,,,
940,St. Moritz, Highball, Tall Rocks, Heavy Whipping Cream, Any, 1 1/2 oz. Raspberry Liqueur, float in heavy whip cream, Pour ingredients as listed over ice,,,,,,
